paper_id,total_valid_chars,exact_math_chars,exact_math_density,broad_math_chars,broad_math_density
JASA_2023_0627,159115,62375,0.392,54887,0.345
JASA_2023_0628,175655,12589,0.0717,36311,0.2067
JASA_2023_0629,309899,27735,0.0895,166019,0.5357
JASA_2023_0631,305181,74002,0.2425,182050,0.5965
JASA_2023_0632,115870,27154,0.2343,28930,0.2497
JASA_2023_0633,155083,38077,0.2455,33364,0.2151
JASA_2023_0635,231371,66919,0.2892,81490,0.3522
JASA_2023_0637,119280,1978,0.0166,20930,0.1755
JASA_2023_0643,198476,15517,0.0782,70731,0.3564
JASA_2023_0647,316764,180563,0.57,143814,0.454
JASA_2023_0648,165269,67091,0.406,98426,0.5956
JASA_2023_0649,188388,0,0,119662,0.6352
JASA_2023_0652,263214,13926,0.0529,111239,0.4226
JASA_2023_0654,136610,32280,0.2363,78629,0.5756
JASA_2023_0655,191732,4039,0.0211,34480,0.1798
JASA_2023_0657,200241,6603,0.033,44698,0.2232
JASA_2023_0661,121851,7689,0.0631,37623,0.3088
JASA_2023_0704,172204,70455,0.4091,64261,0.3732
JASA_2023_0707,163165,22115,0.1355,109230,0.6694
JASA_2023_0716,217065,0,0,151832,0.6995
JASA_2023_0761,201675,21163,0.1049,89732,0.4449
JASA_2023_0762,87988,31982,0.3635,32773,0.3725
JASA_2023_0763,191881,3525,0.0184,121803,0.6348
JASA_2023_0764,82964,14462,0.1743,14261,0.1719
JASA_2023_0765,92299,0,0,4720,0.0511
JASA_2023_0766,248209,75579,0.3045,109880,0.4427
JASA_2023_0767,283023,54396,0.1922,165658,0.5853
JASA_2023_0768,111878,6381,0.057,9515,0.085
JASA_2023_0770,56894,1396,0.0245,4901,0.0861
JASA_2023_0771,256551,114433,0.446,112729,0.4394
JASA_2023_0772,107419,20895,0.1945,24005,0.2235
JASA_2023_0774,211054,35415,0.1678,66396,0.3146
JASA_2023_0776,234281,103758,0.4429,183149,0.7817
JASA_2023_0779,174867,6608,0.0378,51552,0.2948
JASA_2023_0780,351558,0,0,166982,0.475
JASA_2023_0784,282232,120537,0.4271,199422,0.7066
JASA_2023_0785,71208,3145,0.0442,17553,0.2465
JASA_2023_0787,406785,265018,0.6515,201798,0.4961
JASA_2023_0792,231726,37724,0.1628,102037,0.4403
JASA_2023_0793,193980,0,0,145100,0.748
JASA_2023_0794,227713,3131,0.0137,89109,0.3913
JASA_2023_0811,236652,3984,0.0168,96653,0.4084
JASA_2023_0812,148649,37263,0.2507,52050,0.3502
JASA_2023_0813,210602,1384,0.0066,124912,0.5931
JASA_2023_0814,179630,5267,0.0293,57578,0.3205
JASA_2023_0817,261917,5308,0.0203,44210,0.1688
JASA_2023_0818,427837,190597,0.4455,325371,0.7605
JASA_2023_0819,113725,0,0,20538,0.1806
JASA_2023_0839,2388682,84967,0.0356,77533,0.0325
JASA_2023_0855,197970,3811,0.0193,141672,0.7156
JASA_2023_0893,113090,1624,0.0144,17828,0.1576
JASA_2023_0897,170403,0,0,6628,0.0389
JASA_2023_0899,124865,42220,0.3381,35308,0.2828
JASA_2023_0900,231490,15518,0.067,103593,0.4475
JASA_2023_0901,147673,53547,0.3626,65245,0.4418
JASA_2023_0903,317318,113474,0.3576,159025,0.5012
JASA_2023_0904,257312,14188,0.0551,69532,0.2702
JASA_2023_0910,146041,0,0,22006,0.1507
JASA_2023_0920,115264,24683,0.2141,49643,0.4307
JASA_2023_0922,161139,2229,0.0138,58116,0.3607
JASA_2023_0923,99318,17479,0.176,20827,0.2097
JASA_2023_0924,82942,11561,0.1394,18874,0.2276
JASA_2023_0925,223568,59448,0.2659,79564,0.3559
JASA_2023_0926,282474,12978,0.0459,103534,0.3665
JASA_2023_0931,65064,0,0,8165,0.1255
JASA_2023_0932,128338,0,0,82027,0.6391
JASA_2023_0934,179072,3048,0.017,64214,0.3586
JASA_2023_0935,106473,5710,0.0536,47075,0.4421
JASA_2023_0936,219306,32915,0.1501,69713,0.3179
JASA_2023_0945,109185,5820,0.0533,21281,0.1949
JASA_2023_0969,93277,3400,0.0365,26087,0.2797
JASA_2023_0972,122686,46100,0.3758,40658,0.3314
JASA_2023_0974,68527,9513,0.1388,11581,0.169
JASA_2023_0976,152626,2496,0.0164,38570,0.2527
JASA_2023_0984,183249,6311,0.0344,31667,0.1728
JASA_2023_0985,79790,0,0,7232,0.0906
JASA_2023_1031,102073,6088,0.0596,28863,0.2828
JASA_2023_1037,146294,34399,0.2351,46265,0.3162
JASA_2023_1039,32211,0,0,3546,0.1101
JASA_2023_1052,159792,19745,0.1236,102898,0.6439
JASA_2023_1053,58244,6372,0.1094,7559,0.1298
JASA_2023_1056,172056,26748,0.1555,35459,0.2061
JASA_2023_1058,136025,14321,0.1053,32226,0.2369
JASA_2023_1060,82805,2237,0.027,14911,0.1801
JASA_2023_1061,136534,39522,0.2895,46053,0.3373
JASA_2023_1062,270632,113456,0.4192,154539,0.571
JASA_2023_1080,302965,82874,0.2735,146941,0.485
JASA_2023_1083,167988,39917,0.2376,41625,0.2478
JASA_2023_1086,231303,91035,0.3936,181672,0.7854
JASA_2024_0623,155474,33419,0.2149,33633,0.2163
JASA_2024_0630,175343,74573,0.4253,63999,0.365
JASA_2024_0638,180689,52415,0.2901,65984,0.3652
JASA_2024_0659,120996,0,0,9633,0.0796
JASA_2024_0662,135746,22601,0.1665,98248,0.7238
JASA_2024_0663,132033,36888,0.2794,39341,0.298
JASA_2024_0709,135926,34194,0.2516,43641,0.3211
JASA_2024_0710,84308,44,0.0005,16525,0.196
JASA_2024_0711,164034,4320,0.0263,52569,0.3205
JASA_2024_0712,79324,0,0,13902,0.1753
JASA_2024_0713,220007,40441,0.1838,131209,0.5964
JASA_2024_0714,91282,1644,0.018,24458,0.2679
JASA_2024_0718,108085,2049,0.019,17530,0.1622
JASA_2024_0720,94817,1520,0.016,14436,0.1523
JASA_2024_0782,159637,8824,0.0553,33064,0.2071
JASA_2024_0788,196165,53906,0.2748,54572,0.2782
JASA_2024_0790,95304,980,0.0103,6797,0.0713
JASA_2024_0797,506740,185409,0.3659,179874,0.355
JASA_2024_0799,394633,55677,0.1411,226047,0.5728
JASA_2024_0801,268045,4266,0.0159,45905,0.1713
JASA_2024_0802,277693,50004,0.1801,80712,0.2907
JASA_2024_0803,143708,4663,0.0324,41788,0.2908
